Firstname ;Lastname  ;Ssn ;DOB ;Phone ;Street_No;Street_Name;City;Postcode;Salary ;RoleType
Ashlee;Nicholson;321027409;2000/1/24;5140106848;538;Lambert Cliff;Carolland;MT 19554;55000;caretaker
Monica;Reynolds;409914190;1976/8/4;3703332806;382;Gould Alley;Andrewsborough;WY 46378;60000;admin
Karen;Davis;005694855;2000/5/16;6317551351;365;Jason Summit;West Williamfurt;NH 30805;65000;caretaker
Jennifer;Thomas;380522590;2001/10/29;6317561349;0959;Watkins Harbors;Bryanland;HI 48021;45000;caretaker
Tina;Brooks;123606443;2001/10/21;8421377442;184;Tracey Cliffs;Markville;VT 29510;55000;kitchen_staff
Lori;Wyatt;025951544;1993/10/8;1475870908;188;Tracey Cliffs;Markville;VT 29510;70000;admin
Chloe;Clark;673473021;1983/8/4;7952349006;57118;Thomas Crossroad;South Ericborough;ID 41288;45000;kitchen_staff
Tammy;Diaz;420908583;1971/1/19;8421377442;78;Denise Estate;South Cindyfort;NV 68660;65000;caretaker
Rebekah;Howard;771153852;1983/11/29;0010839007;148;Stephen Flats;New Alyssaberg;OK 80000;45000;caretaker
Robin;Jones;642622623;2001/10/29;0016115865;588;Daniel Squares;Richardberg;FL 54974;65000;admin
Stephanie;Turner;394035102;2000/8/20;3071794488;3155;Fleming Fords;Port Marie;IL 64675;70000;technician
Hannah;Rodriguez;216889689;2001/9/30;0016115865;2189;Fleming Fords;Port Marie;IL 64675;70000;kitchen_staff
Kevin;Steele;816192530;2000/9/8;3538118651;1345;Fleming Fords;Port Marie;IL 64675;65000;technician
Scott;Foster;265591725;1983/6/30;2803611683;23;Daniel Squares;Richardberg;FL 54974;70000;caretaker
John;Evans;019044608;1980/8/19;0019114257;265;Jason Summit;West Williamfurt;NH 30805;75000;technician
Philip;Daniels;775409623;1979/6/27;0015121803;127;Jason Summit;West Williamfurt;NH 30805;75000;caretaker
Anthony;Dunn;724086494;1991/9/28;0011693245;345;Daniel Squares;Richardberg;FL 54974;65000;kitchen_staff
Bryan;Vega;338455530;1991/7/31;1785214871;229;Amanda Mill;North James;NM 34034;70000;kitchen_staff
William;Bryant;760157283;1992/7/9;7906463509;114;Joshua Flats;West Carriehaven;CT 41383;65000;kitchen_staff
Lance;James;551084017;1979/6/16;7926463580;1655;Joshua Flats;West Carriehaven;CT 41383;60000;admin
Ryan;Wolf;180374370;1979/8/18;7936453540;77075;Evan Station;Lake Jacobland;AR 87268;45000;technician
Leonard;Kennedy;721351456;1977/4/13;0708734105;03191;Mark Freeway;East Timothychester;WV 58502;60000;admin
Randy;Chang;364780852;1990/4/17;1262352632;056;Lewis Road;Chapmanborough;DE 24206;70000;technician
Tyler;Robinson;092930388;1987/3/28;2450332385;2607;Walker Lake;West Rita;NH 19972;65000;caretaker
Thomas;Baker;361103191;1983/6/27;7999847992;1780;Walker Lake;West Rita;NH 19972;45000;caretaker
Michael;Alexander;657410830;2000/8/16;5044151839;2364; Graves Inlet;New Jeffreystad;NH 70992;60000;caretaker
Kevin;Butler;883347528;2000/1/29;0015046196;1930;Hunt Stravenue;West Colleenborough;FM 86749;65000;caretaker
Joel;Holloway;797697182;1970/2/5;7811387875;958;Aaron Divide;West Kimberly;PR 46540;50000;caretaker
Kevin;Weaver;092348599;1997/7/27;1816184879;1565;Nguyen Vista;Hernandezfurt;SC 88583;65000;technician
Troy;Hudson;305407529;2000/2/1;1858035532;0384;Hendrix Causeway;West Michaelfurt;WA 83853;65000;kitchen_staff
Jeffrey;Wilson;440900213;2000/10/19;2613667925;1877; Jennifer Causeway;Costaview;TX 35001;60000;caretaker
Michael;Lewis;235528423;1973/10/31;8060007343;16786; Alexis Passage;Feliciaberg;MH 52243;50000;kitchen_staff
Christopher;Floyd;074532879;2000/5/26;1287247800;1773;Stephanie Village;Kelseyview;RI 62088;75000;technician
James;Jensen;539826261;1996/2/3;4152397834;897;Sharon Loop;Pattersonmouth;NH 08325;75000;caretaker
Brandon;Scott;226744243;1996/4/4;1319941845;289;Christopher Pine;Bryantview;ND 95899;60000;technician
Randy;Richardson;811654202;1995/6/2;1858035532;24699;Jacob Meadow;Gomezshire;FM 81985;50000;admin
