Firstname ;Lastname  ;Ssn ;DOB ;Phone ;Street_No;Street_Name;City;Postcode;Salary 
Carol;Alvarez;657296319;1991/4/26;0015790197;6659;Waters Orchard;Aprilberg;VA 60693;140000
Christina;Coleman;330572010;1985/1/6;1479250474;75358;Angelica Loaf;North Joshua;MN 09650;120000
Shelby;Greer;141387572;1985/11/17;0948704697;01345;David Cliffs;Hudsonmouth;PW 84090;110000
Kristen;Glass;701412918;1985/9/1;1806414861;01022;Roth Valley;North Billytown;MP 70869;140000
Tonya;Reeves;493526633;1986/3/8;8940641263;1345;Brooke Circles;Chambersside;CA 29550;100000
Brenda;Wheeler;201839800;1972/4/4;0012987458;78;David Cliffs;Hudsonmouth;PW 84090;150000
Toni;Taylor;709402038;1985/6/15;5400231836;578;Waters Orchard;Aprilberg;VA 60693;150000
Tiffany;Ward;750345698;1987/3/6;0018234238;348;Angelica Loaf;North Joshua;MN 09650;110000
Sharon;Jones;011583104;1994/5/5;1309040949;12;David Cliffs;Hudsonmouth;PW 84090;150000
Maria;Alvarado;531158375;1978/4/4;5201700613;680;Roth Valley;North Billytown;MP 70869;150000
Lacey;Warren;360165024;1994/3/3;0017874485;5280;Brooke Circles;Chambersside;CA 29550;130000
Kathy;Erickson;093135746;1972/6/26;0014252156;90;Waters Orchard;Aprilberg;VA 60693;110000
Jasmine;Johnson;025992204;1986/4/14;1939105597;481;Angelica Loaf;North Joshua;MN 09650;100000
Ashley;Howe;896038487;1983/9/8;3527374726;583;David Cliffs;Hudsonmouth;PW 84090;90000
Laura;Haynes;206571729;1983/3/17;4475379394;47;Roth Valley;North Billytown;MP 70869;130000
Alyssa;Page;582777357;1982/7/29;1701183062;19;Brooke Circles;Chambersside;CA 29550;140000
Mary;Nolan;318477766;1982/8/19;7435410673;37022;Alexis Pass;East Chrisfurt;IA 96568;150000
Olivia;Velez;213639689;1978/11/8;2544995013;310;Alexis Pass;East Chrisfurt;IA 96568;110000
Patricia;Potts;192567331;1985/10/8;8368475766;22543;Webster Center;Loriborough;IL 90087;100000
Donna;Davis;875548831;1985/11/24;7735865652;374;Robinson Brook;New Jonathan;MH 75513;150000
Kimberly;Key;636850506;1973/7/7;9131669708;4082;Mullins Turnpike;Lake Bryan;AK 97061;140000
Sara;Johnson;873378125;1981/3/26;0411744510;6942;Mathews Station;Adamland;ID 24249;130000
Christine;Allen;073034064;1986/6/30;0011960976;96424;Andrew Mountain;South Kevin;TX 71800;140000
Amanda;Allison;233796536;1988/11/20;0018098479;89;Webster Center;Loriborough;IL 90087;100000
Mary;Thomas;631058529;1977/4/13;2888654488;201;Robinson Brook;New Jonathan;MH 75513;110000
Eduardo;Adkins;582837474;1988/11/3;0014013755;429;Mullins Turnpike;Lake Bryan;AK 97061;90000
Jermaine;Morales;405011112;1986/4/24;1140224794;490;Mathews Station;Adamland;ID 24249;120000
Daniel;Cervantes;706879223;1989/1/12;0019423487;138;Andrew Mountain;South Kevin;TX 71800;140000
Austin;Smith;355939893;1973/3/28;1170119879;275;Webster Center;Loriborough;IL 90087;140000
Travis;Brooks;128250076;1972/5/27;2438116865;2301;Robinson Brook;New Jonathan;MH 75513;110000
David;Mckinney;416832295;1974/12/5;9907854301;479;Mullins Turnpike;Lake Bryan;AK 97061;150000
Eric;Smith;192400814;1980/3/26;8880561574;2097;Mathews Station;Adamland;ID 24249;140000
Sean;Rios;753291554;1976/10/26;2838517277;55;Andrew Mountain;South Kevin;TX 71800;90000
Travis;Campbell;597215548;1985/11/16;7607856750;1097;Webster Center;Loriborough;IL 90087;140000
James;May;845662541;1978/4/6;7201358561;3789;Robinson Brook;New Jonathan;MH 75513;90000
Ryan;Valdez;667597883;1972/10/25;9481817100;3409;Mullins Turnpike;Lake Bryan;AK 97061;150000
Robert;Pierce;581586453;1983/10/1;1550463322;3865;Mathews Station;Adamland;ID 24249;150000
Jeffery;Cameron;325176242;1994/4/18;2141468888;670;Andrew Mountain;South Kevin;TX 71800;110000
David;Montes;129742689;1985/12/17;1112233209;290;Scott View;East Melissa;VT 68522;90000
Aaron;Thompson;826762514;1983/8/8;3559560766;47;Valerie Streets;East James;MD 05984;110000
Bryan;Campbell;409912075;1983/12/6;5003116181;4201;Jessica Forks;Montgomeryshire;FL 57832;140000
Joseph;Riley;793623678;1986/2/23;6650987324;385;Chavez Meadows;South Whitney;CO 47689;140000
Ryan;Long;670291013;1990/4/13;6525817195;105;Scott View;East Melissa;VT 68522;110000
Michael;Cross;529032393;1982/5/29;1310533365;36;Valerie Streets;East James;MD 05984;130000
Michael;Neal;225278054;1975/10/27;1727247343;528;Jessica Forks;Montgomeryshire;FL 57832;130000
Richard;Conley;020456799;1980/6/16;2592070780;7650;Chavez Meadows;South Whitney;CO 47689;150000
Daniel;King;656993540;1999/9/13;1598987892;8235;Scott View;East Melissa;VT 68522;120000
Hector;Lane;285932748;1989/10/29;6422498530;225;Valerie Streets;East James;MD 05984;130000
Eric;Harrison;755334265;1989/8/17;1037746956;11669;Jessica Forks;Montgomeryshire;FL 57832;150000
