Firstname ;Lastname  ;Ssn ;DOB ;Phone ;Street_No ;Street_Number;City;Postcode;Sex ;Diagnosis ;admitDate;R_num;C_code
Julia;Harper;861521232;1973/9/12;1277876392;318;Joseph Camp;Mackfurt;UT 47602;Female;Appendicitis;2022/1/10;PA01;PTH323
Alexandra;Wyatt;296754137;1984/6/15;16898248;3211;Alexander Knolls;Coryview;HI 38860;Female;Stomach_Ulcer;2022/11/7;PA02;PTH323
Wendy;Gonzalez;268923873;2001/4/1;6753781425;900;Crawford Corner;Briannaside;ID 41013;Female;Angina;2022/11/12;PA03;PTH323
Amy;Benitez;224069684;2000/10/12;10473380;56999;Jordan Rue;Riosside;IL 37984;Female;Broken_Finger;2022/11/13;PA04;PTH323
Sarah;Kelly;426074184;2000/3/19;9624165604;887;Michael Hills;New Andrewport;NV 25821;Female;Chest_Pain;2022/4/13;PA05;PTH323
Morgan;Chase;428036451;2000/7/31;3301687084;633;Doyle Streets;Baileystad;FM 25031;Female;Concussion;2022/1/17;PA06;PTH323
Carol;Chan;027916501;1970/12/16;3301687549;20734;Anthony Mount;Johnsonton;NM 23691;Female;Broken_Limb;2022/10/21;PA07;PTH323
Denise;Jones;460636452;1972/1/9;725521106;140;Jeremy Wells;Garzastad;UT 55163;Female;Infection;2022/4/7;PA08;PTH323
Stephanie;Meyer;113796252;1978/3/24;1528658135;7537;Meredith Crossing;North Patrickchester;UT 54460;Female;Infection;2022/5/26;PA09;PTH323
Lisa;Schroeder;081485586;1979/10/4;16308699;43;Mark Meadow;West Jennifertown;TX 43509;Female;Head_Injury;2022/3/12;PA10;PTH323
Joanna;Lyons;260097213;1991/1/5;14408585;748;Joseph Camp;Mackfurt;UT 47602;Female;Appendicitis;2022/9/15;IC01;INT453
Julie;Robinson;654270643;2000/3/1;16067564;92;Alexander Knolls;Coryview;HI 38860;Female;Stomach_Ulcer;2022/7/29;IC02;INT453
Samantha;Taylor;051944443;1971/6/20;1373482145;749;Crawford Corner;Briannaside;ID 41013;Female;Angina;2022/6/24;CA01;CRD313
Brenda;King;721413723;2002/11/23;13558024;89;Jordan Rue;Riosside;IL 37984;Female;Broken_Finger;2022/2/20;CA02;CRD313
Erika;Baker;555817722;1996/4/23;1511574871;67;Michael Hills;New Andrewport;NV 25821;Female;Chest_Pain;2022/7/19;CA03;CRD313
Cynthia;Shaw;425952917;1990/3/22;15749108;92;Doyle Streets;Baileystad;FM 25031;Female;Concussion;2022/5/26;CA04;CRD313
Shannon;Lindsey;224252042;2001/3/27;3043809252;492;Anthony Mount;Johnsonton;NM 23691;Female;Colon_Cancer;2022/2/9;CA05;CRD313
Rebecca;Dennis;534020005;2001/8/25;7145223268;9375;Jeremy Wells;Garzastad;UT 55163;Female;Broken_Limb;2022/4/11;CA06;CRD313
Vickie;Lopez;289752825;1995/1/24;4515166553;8792;Meredith Crossing;North Patrickchester;UT 54460;Female;Infection;2022/9/21;CA07;CRD313
Susan;Tran;688571614;1985/1/22;10245595;6792;Mark Meadow;West Jennifertown;TX 43509;Female;Infection;2022/12/5;DE01;DRM183
Jennifer;Martin;428963713;2002/1/20;3812236340;737;Joseph Camp;Mackfurt;UT 47602;Female;Stomach_Ulcer;2022/10/5;DE02;DRM183
Stacy;Powers;498835265;1972/4/6;1612377630;3875;Alexander Knolls;Coryview;HI 38860;Female;Angina;2022/4/6;DE03;DRM183
Madeline;Lee;535985554;1976/1/9;9454892379;672;Crawford Corner;Briannaside;ID 41013;Female;Broken_Finger;2022/6/1;NE04;NRL293
